ms,electrode
707951,0.581
708962,0.576
709977,0.581
710988,0.594
711999,0.590
713010,0.590
714021,0.591
715032,0.589
716052,0.598
717063,0.595
718074,0.594
719085,0.593
720096,0.603
721107,0.606
722118,0.607
723129,0.609
724140,0.609
725151,0.596
726162,0.594
727173,0.594
728184,0.595
729195,0.605
730215,0.605
731226,0.608
732237,0.607
733248,0.593
734259,0.598
735270,0.601
736281,0.615
737292,0.607
738303,0.597
739314,0.611
740325,0.602
741336,0.590
742347,0.594
743358,0.606
744369,0.597
745380,0.599
746391,0.589
747406,0.603
748417,0.605
749428,0.599
750439,0.601
751450,0.603
752461,0.598
753472,0.604
754483,0.596
755494,0.594
756505,0.608
757516,0.599
758527,0.591
759538,0.605
760549,0.601
761560,0.596
762571,0.609
763582,0.597
764593,0.613
765604,0.602
766615,0.610
767626,0.614
768637,0.611
769648,0.610
770659,0.618
771670,0.618
772681,0.613
773692,0.607
774703,0.599
775714,0.595
776725,0.593
777774,0.610
778785,0.601
779796,0.613
780807,0.600
781818,0.610
782829,0.597
783838,0.605
784850,0.602
785861,0.614
786872,0.602
787883,0.603
788894,0.606
789905,0.596
790916,0.602
791927,0.610
792938,0.610
793949,0.595
794960,0.598
795971,0.595
796982,0.598
797993,0.607
799004,0.601
800015,0.609
801026,0.597
802037,0.596
803048,0.593
804059,0.603
805070,0.598
806081,0.612
807092,0.609
808103,0.609
809114,0.606
810125,0.613
811136,0.600
812147,0.609
813158,0.598
814169,0.607
815180,0.600
816191,0.606
817202,0.603
818213,0.603
819224,0.613
820235,0.612
821250,0.606
822261,0.611
823272,0.606
824283,0.612
825294,0.613
826305,0.598
827316,0.606
828327,0.611
829338,0.610
830349,0.606
831360,0.613
832371,0.591
833382,0.594
834393,0.593
835404,0.598
836415,0.604
837426,0.594
838437,0.594
839448,0.604
840459,0.602
841470,0.590
842481,0.600
843492,0.600
844503,0.594
845514,0.574
846525,0.583
847536,0.563
848547,0.567
849558,0.569
850569,0.570
851580,0.579
852591,0.574
853602,0.583
854613,0.565
855624,0.581
856635,0.575
857646,0.578
858661,0.573
859672,0.571
860683,0.566
861694,0.562
862705,0.567
863716,0.566
864727,0.572
865738,0.570
866749,0.567
867760,0.562
868771,0.574
869782,0.578
870793,0.575
871804,0.514
872815,0.527
873826,0.527
874837,0.527
875848,0.527
876859,0.519
877870,0.533
878881,0.564
879892,0.595
880903,0.590
881914,0.589
882925,0.593
883936,0.605
884947,0.586
885958,0.595
886969,0.582
887980,0.590
888991,0.586
890002,0.586
891013,0.589
892024,0.584
893035,0.577
894046,0.582
895060,0.577
896071,0.587
897082,0.585
898093,0.574
899104,0.585
900115,0.581
901126,0.574
902137,0.579
903149,0.582
904160,0.583
905171,0.575
906182,0.584
907193,0.574
908204,0.583
909215,0.587
910226,0.582
911247,0.590
912258,0.582
913269,0.582
914280,0.578
915291,0.581
916302,0.590
917313,0.584
918324,0.577
919335,0.577
920346,0.566
921357,0.570
922368,0.572
923379,0.568
924390,0.567
925401,0.571
926412,0.574
927423,0.567
928434,0.573
929445,0.575
930457,0.570
931468,0.572
932483,0.588
933494,0.586
934505,0.575
935516,0.566
936528,0.560
937539,0.546
938550,0.553
939561,0.532
940572,0.542
941583,0.523
942594,0.536
943605,0.513
944616,0.512
945627,0.502
946638,0.496
947649,0.495
948660,0.497
949671,0.496
950682,0.490
951693,0.492
952705,0.503
953716,0.504
954727,0.515
955738,0.505
956749,0.516
957761,0.502
958772,0.498
959783,0.508
960794,0.504
961814,0.507
962825,0.507
963836,0.494
964847,0.488
965858,0.489
966869,0.495
967880,0.499
968895,0.496
969907,0.491
970918,0.496
971929,0.487
972940,0.484
973951,0.483
974963,0.483
976022,0.493
977034,0.488
978045,0.482
979056,0.490
980067,0.502
981078,0.498
982090,0.507
983101,0.496
984112,0.507
985123,0.503
986134,0.497
987146,0.490
988157,0.510
989168,0.505
990179,0.492
991190,0.491
992202,0.496
993213,0.492
994224,0.498
995235,0.501
996246,0.492
997257,0.502
998268,0.500
999279,0.510
1000290,0.506
1001301,0.493
1002312,0.488
1003323,0.484
1004334,0.492
1005345,0.505
1006360,0.503
1007371,0.488
1008382,0.487
1009393,0.488
1010404,0.482
1011415,0.484
1012426,0.492
1013437,0.491
1014448,0.496
1015459,0.491
1016470,0.478
1017481,0.490
1018492,0.483
1019504,0.490
1020515,0.493
1021526,0.491
1022537,0.502
1023548,0.491
1024560,0.512
1025571,0.509
1026582,0.497
1027593,0.504
1028604,0.497
1029615,0.493
1030626,0.507
1031637,0.508
1032648,0.490
1033659,0.489
1034670,0.491
1035681,0.503
1036692,0.501
1037703,0.497
1038714,0.488
1039725,0.496
1040740,0.495
1041751,0.484
1042762,0.491
1043773,0.482
1044784,0.483
1045795,0.489
1046806,0.487
1047817,0.494
1048828,0.495
1049839,0.492
1050850,0.495
1051862,0.481
1052873,0.480
1053884,0.493
1054895,0.493
1055906,0.495
1056918,0.486
1057929,0.498
1058940,0.490
1059951,0.490
1060962,0.482
1061974,0.484
1062985,0.476
1063996,0.488
1065007,0.484
1066018,0.477
1067029,0.493
1068041,0.496
1069052,0.487
1070063,0.486
1071074,0.484
1072085,0.487
1073097,0.485
1074108,0.477
1075123,0.492
1076134,0.489
1077145,0.493
1078156,0.481
1079167,0.482
1080178,0.488
1081189,0.479
1082200,0.484
1083211,0.485
1084222,0.485
1085233,0.476
1086244,0.482
1087255,0.468
1088266,0.466
1089278,0.477
1090289,0.474
1091300,0.464
1092311,0.473
1093322,0.476
1094333,0.465
1095344,0.474
1096355,0.476
1097366,0.477
1098377,0.483
1099388,0.483
1100399,0.492
1101410,0.496
1102421,0.493
1103432,0.482
1104443,0.483
1105455,0.488
1106466,0.488
1107477,0.482
1108488,0.484
1109503,0.484
1110514,0.497
1111525,0.499
1112536,0.496
1113547,0.493
1114558,0.488
1115569,0.484
1116580,0.483
1117591,0.481
1118602,0.484
1119613,0.490
1120624,0.496
1121635,0.493
1122646,0.486
1123657,0.484
1124668,0.482
1125679,0.474
1126690,0.481
1127701,0.483
1128712,0.498
1129723,0.494
1130734,0.481
1131746,0.488
1132757,0.493
1133768,0.487
1134779,0.486
1135790,0.495
1136801,0.481
1137812,0.486
1138823,0.488
1139834,0.482
1140845,0.480
1141856,0.482
1142867,0.487
1143882,0.488
1144893,0.478
1145904,0.484
1146915,0.484
1147926,0.488
1148937,0.486
1149948,0.487
1150959,0.489
1151970,0.497
1152981,0.482
1153992,0.492
1155003,0.481
1156014,0.488
1157025,0.482
1158036,0.482
1159047,0.494
1160058,0.490
1161069,0.496
1162080,0.484
1163091,0.490
1164112,0.481
1165123,0.483
1166134,0.484
1167145,0.484
1168156,0.486
1169167,0.484
1170178,0.487
1171189,0.493
1172200,0.479
1173211,0.486
1174260,0.492
1175272,0.485
1176283,0.487
1177294,0.491
1178309,0.489
1179320,0.483
1180331,0.489
1181342,0.491
1182353,0.492
1183364,0.490
1184375,0.477
1185386,0.474
1186397,0.475
1187408,0.483
1188419,0.488
1189430,0.488
1190441,0.491
1191452,0.489
1192463,0.473
1193474,0.484
1194485,0.487
1195496,0.483
1196507,0.492
1197518,0.474
1198529,0.483
1199540,0.490
1200551,0.489
1201562,0.477
1202574,0.481
1203585,0.486
1204596,0.477
1205615,0.488
1206626,0.489
1207637,0.493
1208648,0.509
1209659,0.493
1210670,0.499
1211681,0.495
1212696,0.494
1213707,0.489
1214718,0.497
1215729,0.489
1216740,0.506
1217751,0.488
1218762,0.491
1219782,0.504
1220793,0.493
1221804,0.497
1222815,0.490
1223826,0.492
1224837,0.498
1225848,0.497
1226859,0.495
1227870,0.489
1228881,0.487
1229892,0.476
1230903,0.492
1231914,0.489
1232925,0.490
1233936,0.487
1234947,0.479
1235958,0.486
1236969,0.484
1237980,0.481
1238991,0.490
1240002,0.485
1241013,0.489
1242024,0.480
1243035,0.490
1244046,0.482
1245057,0.484
1246068,0.491
1247078,0.496
1248089,0.495
1249100,0.510
1250111,0.493
1251122,0.481
1252134,0.499
1253145,0.488
1254156,0.484
1255167,0.482
1256178,0.492
1257189,0.500
1258200,0.484
1259211,0.493
1260222,0.481
1261233,0.495
1262244,0.498
1263255,0.494
1264266,0.500
1265277,0.494
1266288,0.487
1267299,0.493
1268311,0.494
1269322,0.496
1270333,0.504
1271344,0.505
1272355,0.498
1273366,0.502
1274377,0.491
1275388,0.503
1276399,0.486
1277410,0.492
1278421,0.504
1279432,0.504
1280443,0.481
1281454,0.495
1282469,0.494
1283480,0.486
1284491,0.498
1285502,0.480
1286513,0.501
1287524,0.489
1288535,0.510
1289546,0.516
1290557,0.498
1291568,0.506
1292579,0.486
1293590,0.492
1294601,0.506
1295612,0.492
1296623,0.495
1297634,0.512
1298645,0.498
1299656,0.500
1300667,0.492
1301678,0.515
1302689,0.510
1303700,0.511
1304711,0.511
1305722,0.502
1306733,0.502
1307744,0.499
1308755,0.512
1309766,0.496
1310777,0.500
1311788,0.505
1312799,0.495
1313810,0.516
1314821,0.512
1315832,0.502
1316847,0.502
1317858,0.499
1318869,0.495
1319880,0.505
1320891,0.488
1321902,0.495
1322913,0.490
1323924,0.493
1324935,0.492
1325946,0.489
1326957,0.491
1327968,0.499
1328979,0.491
1329990,0.495
1331001,0.493
1332012,0.488
1333023,0.491
1334034,0.491
1335045,0.495
1336056,0.493
1337067,0.491
